Level,Week,Topic,Sub Topic,Description,Link 1
,,Speech,Speech to text,Azure offers a comprehensive suite of speech services to process and generate human speech in various languages and contexts,https://learn.microsoft.com/en-us/azure/cognitive-services/speech-service/speech-to-text
,,,Text to Speech,,https://learn.microsoft.com/en-us/azure/cognitive-services/speech-service/text-to-speech
,,,Speech translation,,https://learn.microsoft.com/en-us/azure/cognitive-services/speech-service/speech-translation
,,,Speech recognition,,https://learn.microsoft.com/en-us/azure/cognitive-services/speech-service/speaker-recognition-overview
,12,Language,Entity recognition,"Azure's language services encompass a variety of capabilities including Entity Recognition, Sentiment Analysis, Question Answering, Conversational Language Understanding, and Translator",https://learn.microsoft.com/en-us/azure/cognitive-services/language-service/text-analytics-for-health/overview?tabs=ner
,,,Sentimnt Analysis,,https://learn.microsoft.com/en-us/azure/cognitive-services/language-service/sentiment-opinion-mining/overview
,,,Question Answering,,https://learn.microsoft.com/en-us/azure/cognitive-services/language-service/question-answering/overview
,,,Conversational language understanding,,https://learn.microsoft.com/en-us/azure/cognitive-services/language-service/conversational-language-understanding/overview
,,,Translator,,https://learn.microsoft.com/en-us/azure/cognitive-services/translator/translator-overview
,,Decision,Anomaly Detector,"Azure's decision-related services that empower applications with the ability to make informed and automated decisions, detect anomalies, moderate content, and personalize user experiences.",https://learn.microsoft.com/en-us/azure/cognitive-services/anomaly-detector/overview
,,,Content Moderator,,https://learn.microsoft.com/en-us/azure/cognitive-services/content-moderator/overview
,,,Personalizer,,https://learn.microsoft.com/en-us/azure/cognitive-services/personalizer/what-is-personalizer
,13,Azure OpenAI Service,OpenAI Service,Azure's OpenAI Service integrates OpenAI's advanced language capabilities into Azure's ecosystem,https://learn.microsoft.com/en-us/azure/cognitive-services/openai/overview
,,Deployment,Azure Functions,"Deployment in Azure encompasses various services like Azure Functions, Azure Logic Apps, and Azure App Service, providing versatile options for hosting and running applications to meet different needs.",https://learn.microsoft.com/en-us/azure/azure-functions/functions-overview
,,,Azure Logic Apps,,https://learn.microsoft.com/en-us/azure/logic-apps/logic-apps-overview
,,,Azure App Service,,https://learn.microsoft.com/en-us/azure/app-service/overview
